name,idn,address,tvc,district,state,pincode,landline,website,h_email,h_name,h_designation,h_type,h_joining,h_te,h_re,h_ie,h_landline,h_fax,h_email
INSTITUTE OF MARKETING & MANAGEMENT - BUSINESS SCHOOL,1-6304281,"MARKETING TOWER, B-11 QUTAB INSTITUTIONAL AREA, NEW DELHI - 110 016, NEW DELHI, NEW DELHI, Delhi, 110016",NEW DELHI,NEW DELHI,Delhi,110016,11 - 41324850-3,www.immindia.com,director@immindia.com,Mrs. Molijit Lall,REGISTRAR,Regular,01-Apr-02,10 years,5 years,5 years,11 - 41324851,26520897,molijit.imm@gmail.com
SHRI SATSANGI SAKETDHAM 'RAM ASHRAM' GROUP OF INSTITUTIONS,1-5139051,"E-402,KRUSHNAKUNJ APPT. B/H INFOCITY,GANDHINAGAR, GANDHINAGAR, KUDASNA, Gujarat, 382421",VILLAGE VADASMA,MEHSANA,Gujarat,382708,2762 - 278305,www.sricampus.org,kjftvadasma@gmail.com,JAYARAM GUMASTE,REGISTRAR,Regular,01-Jul-10,3 years,32 years,0 years,2762 - 278305,278305,rg_shah1966@yahoo.in
"122,GOVERNMENT POLYTECHNIC COLLEGE,DHARMAPURI",1-478412091,"PRINCIPAL,  GOVERNMENT POLYTECHNIC COLLEGE,BOOMANDAHALLI VILLAGE, BAISUHALLI POST, PALACODE TALUK, DHARMAPURI - 635 205., DHARMAPURI, BOOMANDAHALLI, Tamil Nadu, 635205",KARIAMANGALAM,DHARMAPURI,Tamil Nadu,635205,4348 - 293066,www.tndte.gov.in,gptdharmapuri@gmail.com,MAHALINGAM.K KATHAN,PRINCIPAL,Regular,01-Jun-12,29 years,0 years,0 years,4348 - 293066,293066,gptdharmapuri@gmail.com
126-GOVERNMENT POLYTECHNIC COLLEGE,1-466720281,"2/60, SRI GIRI ILLAM, SRI VIGNESH NAGAR,   V.K. ROAD,   COIMBATORE - 641035, COIMBATORE, COIMBATORE, Tamil Nadu, 641035",KOTTUR,THENI,Tamil Nadu,625534,4546 - 291904,www.gptctheni.com,gptc.126@gmail.com,THAMILCHELVI SUBRAMANIAM,PRINCIPAL,Regular,01-Jul-15,31 years,0 years,0 years,4546 - 291904,4546291904,gptc.126@gmail.com
168-GOVT POLYTECHNIC HOSADURGA,1-495127641,"GOVT POLYTECHNIC,GANDHI CIRCLE,OLD HOSPITAL BUILDING,HOSADURGA,CHITRADURGA(D), CHITRADURGA, HOSADURGA, Karnataka, 577527",HOSADURGA,CHITRADURGA,Karnataka,577527,8199 - 230479,www.gpthosadurga.in,gpthosadurga@gmail.com,SUNIL RAMASWAMY,PRINCIPAL,Regular,10-Jan-94,21 years,0 years,1 years,8199 - 230479,8199230479,gpthosadurga@gmail.com
370 PALLAVAN POLYTECHNIC COLLEGE,1-431033065,"NO.23,FIRST MAIN ROAD,VEDHACHALA NAGAR,KANCHIPURAM, KANCHIPURAM, KANCHIPURAM, Tamil Nadu, 631502",KANCHIPURAM,KANCHIPURAM,Tamil Nadu,631502,44 - 27242279,www.pallavan-polytechnic.co.in,pallavanpolytechnic@gmail.com,THENNARASU J,CHAIRMAN,Regular,05-May-14,16 years,0 years,0 years,44 - 27242160,27236999,petchairman@gmail.com
427-ANANDA MARGA POLYTECHNIC,1-475250471,"VEERAPPA NAGAR, MYLANDAHALLI, KUDIYANUR POST, MALUR.PIN-563130, KOLAR, MALUR, Karnataka, 563130",MYLANDAHALLI,KOLAR,Karnataka,563130,8151 - 8151292213,www.anandamargapolytechnic.edu.in,anandamargapoly.malur@gmail.com,BABU A.SATISH,PRINCIPAL,Regular,12-Aug-00,16 years,0 years,2 years,8151 - 292213,232340,satishampoly@gmail.com
519 HIGHTECH POLYTECHNIC,1-851545034,"W/O MANJUNATH V, C/O NANJUNDESHWARA KRUPA,VINAYAKA NAGARA, GOWRIBIDANUR, CHIKABALLAPUR, GOWRIBIDANUR, Karnataka, 561208",GAURIBIDANUR,BANGALORE URBAN,Karnataka,561208,8155 - 292384,www.hitech-polytechnic.com,principalhtp@gmail.com,DIVYA NAGARAJ N MRS,PRINCIPAL,Regular,18-Jul-11,5 years,0 years,1 years,8155 - 292384,292384,principalhtp@gmail.com
816 SHREE VENKATESHWARA HI TECH POLYTECHNIC COLLEGE,1-431725341,"3,KATTU VALASU  SINGANALLUR-PO,KAVINDAPADI,ERODE, ERODE, KATTU VALASU, Tamil Nadu, 638455",OTHAKUTHIRAI,ERODE,Tamil Nadu,638455,4285 - 266199,www.svhpc.com,svhpcgobi@gmail.com,KANAGARATHINAM LOGANATHAN,SECRETARY,Regular,18-Aug-09,15 years,0 years,0 years,4285 - 265199,266133,svhpcgobi@gmail.com
A & M INSTITUTE OF COMPUTER & TECHNOLOGY,1-10575231,"AJAY MAHAJAN HOSPITAL, DALHOUSIE ROAD, PATHANKOT, GURDASPUR, PATHANKOT, Punjab, 145001",PATHANKOT,GURDASPUR,Punjab,145001,186 - 2252086,www.amict.in,director.amict@yahoo.com,RENUKA GUPTA,DIRECTOR,Regular,16-Feb-09,28 years,5 years,0 years,186 - 5100286,2252086,mahajanrenuka38@yahoo.com
A & M INSTITUTE OF MANAGEMENT AND TECHNOLOGY,1-11477181,"GARDEN COLONY , MISSION ROAD , PATHANKOT, GURDASPUR, PATHANKOT, Punjab, 145001",PATHANKOT,GURDASPUR,Punjab,145001,186 - 2251986,www.amimt.org,director_amimt@yahoo.com,POOJA OHRI,VICE PRESIDENT,Regular,17-May-11,14 years,5 years,1 years,186 - 2251986,2251986,director_amimt@yahoo.com
A M C . ENGINEERING COLLEGE,1-5305236,"DIRECTOR,MCA PROGRAMME, AMC ENGINEERING COLLEGE, 18KM, BANNERAGHATTA ROAD, BANGALORE, BANGALORE URBAN, BANGALORE, Karnataka, 560083",BANGALORE,BANGALORE URBAN,Karnataka,560083,80 - 27828655,www.amcec.edu.in,principal@amcec.edu.in,PRATIBHA AGRAWAL,DIRECTOR,Regular,27-Jul-09,21 years,4 years,4 years,80 - 27828655,27828656,principal.amcec@gmail.com
